"Borough","MajorCategory","SubCategory","Value","CrimeDate","Region"
"E01000009",1,8,2006,NA,"Unknown"
"E01000009",1,8,2006,NA,"Unknown"
"E01000010",1,1,2006,NA,"Unknown"
"E01000010",1,12,2006,NA,"Unknown"
"E01000010",1,12,2006,NA,"Unknown"
"E01000010",1,12,2006,NA,"Unknown"
"E01000010",1,8,2006,NA,"Unknown"
"E01000010",1,8,2006,NA,"Unknown"
"E01000010",1,11,2006,NA,"Unknown"
"E01000010",1,10,2006,NA,"Unknown"
"E01000010",1,9,2006,NA,"Unknown"
"E01000010",1,7,2006,NA,"Unknown"
"E01000010",1,12,2006,NA,"Unknown"
"E01000010",1,3,2006,NA,"Unknown"
"E01000010",1,12,2006,NA,"Unknown"
"E01000010",1,11,2006,NA,"Unknown"
"E01000010",1,7,2006,NA,"Unknown"
"E01000010",1,2,2006,NA,"Unknown"
"E01000010",1,9,2006,NA,"Unknown"
"E01000010",1,10,2006,NA,"Unknown"
"E01000010",1,7,2006,NA,"Unknown"
"E01000010",1,11,2006,NA,"Unknown"
"E01000010",1,12,2006,NA,"Unknown"
"E01000010",1,6,2006,NA,"Unknown"
"E01000010",1,6,2006,NA,"Unknown"
"E01000010",1,4,2006,NA,"Unknown"
"E01000010",1,4,2006,NA,"Unknown"
"E01000010",1,9,2006,NA,"Unknown"
"E01000010",1,12,2006,NA,"Unknown"
"E01000010",1,10,2006,NA,"Unknown"
"E01000010",1,7,2006,NA,"Unknown"
"E01000010",1,10,2006,NA,"Unknown"
"E01000011",1,3,2006,NA,"Unknown"
"E01000011",1,7,2006,NA,"Unknown"
"E01000011",1,4,2006,NA,"Unknown"
"E01000011",1,4,2006,NA,"Unknown"
"E01000011",1,5,2006,NA,"Unknown"
"E01000011",1,1,2006,NA,"Unknown"
"E01000011",1,12,2006,NA,"Unknown"
"E01000011",1,1,2006,NA,"Unknown"
"E01000011",1,1,2006,NA,"Unknown"
"E01000011",1,2,2006,NA,"Unknown"
"E01000011",1,12,2006,NA,"Unknown"
"E01000011",1,6,2006,NA,"Unknown"
"E01000011",1,6,2006,NA,"Unknown"
"E01000011",1,2,2006,NA,"Unknown"
"E01000011",1,4,2006,NA,"Unknown"
"E01000011",1,4,2006,NA,"Unknown"
"E01000011",1,9,2006,NA,"Unknown"
"E01000011",1,6,2006,NA,"Unknown"
"E01000011",1,10,2006,NA,"Unknown"
"E01000011",1,12,2006,NA,"Unknown"
"E01000011",1,5,2006,NA,"Unknown"
"E01000012",1,3,2006,NA,"Unknown"
"E01000012",1,8,2006,NA,"Unknown"
"E01000012",1,6,2006,NA,"Unknown"
"E01000012",1,11,2006,NA,"Unknown"
"E01000012",1,8,2006,NA,"Unknown"
"E01000012",1,10,2006,NA,"Unknown"
"E01000012",1,3,2006,NA,"Unknown"
"E01000012",1,5,2006,NA,"Unknown"
"E01000012",1,10,2006,NA,"Unknown"
"E01000012",1,3,2006,NA,"Unknown"
"E01000012",1,1,2006,NA,"Unknown"
"E01000012",1,2,2006,NA,"Unknown"
"E01000012",1,7,2006,NA,"Unknown"
"E01000012",1,4,2006,NA,"Unknown"
"E01000012",1,2,2006,NA,"Unknown"
"E01000012",1,9,2006,NA,"Unknown"
"E01000012",1,8,2006,NA,"Unknown"
"E01000012",1,3,2006,NA,"Unknown"
"E01000012",1,4,2006,NA,"Unknown"
"E01000012",1,12,2006,NA,"Unknown"
"E01000012",1,3,2006,NA,"Unknown"
"E01000012",1,8,2006,NA,"Unknown"
"E01000012",1,2,2006,NA,"Unknown"
"E01000013",1,7,2006,NA,"Unknown"
"E01000013",1,1,2006,NA,"Unknown"
"E01000013",1,4,2006,NA,"Unknown"
"E01000013",1,9,2006,NA,"Unknown"
"E01000013",1,6,2006,NA,"Unknown"
"E01000013",1,11,2006,NA,"Unknown"
"E01000013",1,9,2006,NA,"Unknown"
"E01000013",1,10,2006,NA,"Unknown"
"E01000013",1,8,2006,NA,"Unknown"
"E01000013",1,10,2006,NA,"Unknown"
"E01000013",1,5,2006,NA,"Unknown"
"E01000013",1,6,2006,NA,"Unknown"
"E01000013",1,4,2006,NA,"Unknown"
"E01000013",1,1,2006,NA,"Unknown"
"E01000013",1,8,2006,NA,"Unknown"
"E01000013",1,11,2006,NA,"Unknown"
"E01000013",1,2,2006,NA,"Unknown"
"E01000013",1,9,2006,NA,"Unknown"
"E01000013",1,7,2006,NA,"Unknown"
"E01000013",1,11,2006,NA,"Unknown"
"E01000013",1,12,2006,NA,"Unknown"
"E01000013",1,4,2006,NA,"Unknown"
"E01000013",1,10,2006,NA,"Unknown"
"E01000013",1,11,2006,NA,"Unknown"
"E01000013",1,9,2006,NA,"Unknown"
"E01000013",1,1,2006,NA,"Unknown"
"E01000013",1,4,2006,NA,"Unknown"
"E01000013",1,8,2006,NA,"Unknown"
"E01000014",1,2,2006,NA,"Unknown"
"E01000014",1,1,2006,NA,"Unknown"
"E01000014",1,2,2006,NA,"Unknown"
"E01000014",1,2,2006,NA,"Unknown"
"E01000014",1,7,2006,NA,"Unknown"
"E01000014",1,11,2006,NA,"Unknown"
"E01000014",1,10,2006,NA,"Unknown"
"E01000014",1,1,2006,NA,"Unknown"
"E01000014",1,9,2006,NA,"Unknown"
"E01000014",1,8,2006,NA,"Unknown"
"E01000014",1,9,2006,NA,"Unknown"
"E01000014",1,2,2006,NA,"Unknown"
"E01000014",1,6,2006,NA,"Unknown"
"E01000014",1,3,2006,NA,"Unknown"
"E01000014",1,8,2006,NA,"Unknown"
"E01000014",1,8,2006,NA,"Unknown"
"E01000014",1,11,2006,NA,"Unknown"
"E01000014",1,6,2006,NA,"Unknown"
"E01000014",1,1,2006,NA,"Unknown"
"E01000014",1,7,2006,NA,"Unknown"
"E01000014",1,5,2006,NA,"Unknown"
"E01000014",1,3,2006,NA,"Unknown"
"E01000014",1,12,2006,NA,"Unknown"
"E01000014",1,10,2006,NA,"Unknown"
"E01000015",1,3,2006,NA,"Unknown"
"E01000015",1,5,2006,NA,"Unknown"
"E01000015",1,1,2006,NA,"Unknown"
"E01000015",1,12,2006,NA,"Unknown"
"E01000015",1,10,2006,NA,"Unknown"
"E01000015",1,11,2006,NA,"Unknown"
"E01000015",1,9,2006,NA,"Unknown"
"E01000015",1,1,2006,NA,"Unknown"
"E01000015",1,9,2006,NA,"Unknown"
"E01000015",1,5,2006,NA,"Unknown"
"E01000015",1,8,2006,NA,"Unknown"
"E01000015",1,11,2006,NA,"Unknown"
"E01000015",1,6,2006,NA,"Unknown"
"E01000015",1,3,2006,NA,"Unknown"
"E01000015",1,1,2006,NA,"Unknown"
"E01000015",1,12,2006,NA,"Unknown"
"E01000015",1,6,2006,NA,"Unknown"
"E01000015",1,10,2006,NA,"Unknown"
"E01000015",1,7,2006,NA,"Unknown"
"E01000015",1,12,2006,NA,"Unknown"
"E01000015",1,11,2006,NA,"Unknown"
"E01000015",1,2,2006,NA,"Unknown"
"E01000016",1,7,2006,NA,"Unknown"
"E01000016",1,1,2006,NA,"Unknown"
"E01000016",1,2,2006,NA,"Unknown"
"E01000016",1,1,2006,NA,"Unknown"
"E01000016",1,10,2006,NA,"Unknown"
"E01000016",1,4,2006,NA,"Unknown"
"E01000016",1,3,2006,NA,"Unknown"
"E01000016",1,2,2006,NA,"Unknown"
"E01000016",1,11,2006,NA,"Unknown"
"E01000016",1,1,2006,NA,"Unknown"
"E01000016",1,11,2006,NA,"Unknown"
"E01000016",1,1,2006,NA,"Unknown"
"E01000016",1,1,2006,NA,"Unknown"
"E01000016",1,8,2006,NA,"Unknown"
"E01000016",1,7,2006,NA,"Unknown"
"E01000016",1,11,2006,NA,"Unknown"
"E01000016",1,11,2006,NA,"Unknown"
"E01000016",1,8,2006,NA,"Unknown"
"E01000016",1,6,2006,NA,"Unknown"
"E01000016",1,1,2006,NA,"Unknown"
"E01000016",1,10,2006,NA,"Unknown"
"E01000016",1,3,2006,NA,"Unknown"
"E01000016",1,1,2006,NA,"Unknown"
"E01000016",1,8,2006,NA,"Unknown"
"E01000016",1,9,2006,NA,"Unknown"
"E01000016",1,5,2006,NA,"Unknown"
"E01000016",1,10,2006,NA,"Unknown"
"E01000016",1,4,2006,NA,"Unknown"
"E01000016",1,12,2006,NA,"Unknown"
"E01000016",1,3,2006,NA,"Unknown"
"E01000017",1,2,2006,NA,"Unknown"
"E01000017",1,12,2006,NA,"Unknown"
"E01000017",1,5,2006,NA,"Unknown"
"E01000017",1,10,2006,NA,"Unknown"
"E01000017",1,12,2006,NA,"Unknown"
"E01000017",1,4,2006,NA,"Unknown"
"E01000017",1,6,2006,NA,"Unknown"
"E01000017",1,12,2006,NA,"Unknown"
"E01000017",1,1,2006,NA,"Unknown"
"E01000017",1,9,2006,NA,"Unknown"
"E01000017",1,2,2006,NA,"Unknown"
"E01000017",1,11,2006,NA,"Unknown"
"E01000017",1,7,2006,NA,"Unknown"
"E01000017",1,4,2006,NA,"Unknown"
"E01000017",1,5,2006,NA,"Unknown"
"E01000017",1,10,2006,NA,"Unknown"
"E01000017",1,3,2006,NA,"Unknown"
"E01000017",1,1,2006,NA,"Unknown"
"E01000017",1,3,2006,NA,"Unknown"
"E01000017",1,8,2006,NA,"Unknown"
"E01000017",1,7,2006,NA,"Unknown"
"E01000017",1,1,2006,NA,"Unknown"
"E01000017",1,12,2006,NA,"Unknown"
"E01000017",1,6,2006,NA,"Unknown"
"E01000017",1,9,2006,NA,"Unknown"
"E01000017",1,8,2006,NA,"Unknown"
"E01000017",1,9,2006,NA,"Unknown"
"E01000017",1,10,2006,NA,"Unknown"
"E01000018",1,10,2006,NA,"Unknown"
"E01000018",1,10,2006,NA,"Unknown"
"E01000018",1,10,2006,NA,"Unknown"
"E01000018",1,10,2006,NA,"Unknown"
"E01000018",1,2,2006,NA,"Unknown"
"E01000018",1,7,2006,NA,"Unknown"
"E01000018",1,10,2006,NA,"Unknown"
"E01000018",1,1,2006,NA,"Unknown"
"E01000018",1,4,2006,NA,"Unknown"
"E01000018",1,5,2006,NA,"Unknown"
"E01000018",1,10,2006,NA,"Unknown"
"E01000018",1,4,2006,NA,"Unknown"
"E01000018",1,7,2006,NA,"Unknown"
"E01000018",1,12,2006,NA,"Unknown"
"E01000018",1,12,2006,NA,"Unknown"
"E01000018",1,6,2006,NA,"Unknown"
"E01000018",1,2,2006,NA,"Unknown"
"E01000018",1,12,2006,NA,"Unknown"
"E01000019",1,9,2006,NA,"Unknown"
"E01000019",1,6,2006,NA,"Unknown"
"E01000019",1,8,2006,NA,"Unknown"
"E01000019",1,9,2006,NA,"Unknown"
"E01000019",1,5,2006,NA,"Unknown"
"E01000019",1,11,2006,NA,"Unknown"
"E01000019",1,10,2006,NA,"Unknown"
"E01000019",1,9,2006,NA,"Unknown"
"E01000019",1,4,2006,NA,"Unknown"
"E01000019",1,12,2006,NA,"Unknown"
"E01000019",1,4,2006,NA,"Unknown"
"E01000019",1,8,2006,NA,"Unknown"
"E01000019",1,4,2006,NA,"Unknown"
"E01000019",1,7,2006,NA,"Unknown"
"E01000019",1,4,2006,NA,"Unknown"
"E01000019",1,11,2006,NA,"Unknown"
"E01000019",1,7,2006,NA,"Unknown"
"E01000019",1,6,2006,NA,"Unknown"
"E01000019",1,8,2006,NA,"Unknown"
"E01000019",1,9,2006,NA,"Unknown"
"E01000019",1,9,2006,NA,"Unknown"
"E01000019",1,5,2006,NA,"Unknown"
"E01000019",1,5,2006,NA,"Unknown"
"E01000020",1,2,2006,NA,"Unknown"
"E01000020",1,8,2006,NA,"Unknown"
"E01000020",1,11,2006,NA,"Unknown"
"E01000020",1,9,2006,NA,"Unknown"
"E01000020",1,8,2006,NA,"Unknown"
"E01000020",1,7,2006,NA,"Unknown"
"E01000020",1,3,2006,NA,"Unknown"
"E01000020",1,1,2006,NA,"Unknown"
"E01000020",1,10,2006,NA,"Unknown"
"E01000020",1,12,2006,NA,"Unknown"
"E01000020",1,11,2006,NA,"Unknown"
"E01000020",1,5,2006,NA,"Unknown"
"E01000020",1,11,2006,NA,"Unknown"
"E01000020",1,9,2006,NA,"Unknown"
"E01000020",1,1,2006,NA,"Unknown"
